City,safemap_risk,severity_score,women_crime_ratio,Total Violent Crimes (Cols.3 to 17) - Col.(18)
Ahmedabad (Gujarat),0.02288234621361977,150.89999999999998,25.471217105263158,1215
Bengaluru (Karnataka),0.05885313123536441,393.9,6.325270758122744,2769
Chennai (Tamil Nadu),0.00650221108524522,47.5,23.3062015503876,1031
Coimbatore (Tamil Nadu),0.0,12.399999999999999,13.528735632183908,347
Delhi City,0.36831132982651926,2377.7,1.7209322779243623,11369
Ghaziabad (Uttar Pradesh),0.007112245557465079,62.7,6.363117870722434,525
Hyderabad (Telangana),0.03598221112518182,250.5,1.8424908424908424,1364
Indore (Madhya Pradesh),0.04492111178303844,303.6,8.014514896867839,1308
Jaipur (Rajasthan),0.07698424394771428,511.0,4.751351351351351,1849
Kanpur (Uttar Pradesh),0.022318083737333575,161.5,4.153755868544601,851
Kochi (Kerala),0.009040285612768154,57.400000000000006,32.82415254237288,471
Kolkata (West Bengal),0.01987471387887091,147.9,1.0950605778191984,1072
Kozhikode (Kerala),0.0029610873109984152,35.9,6.708015267175573,523
Lucknow (Uttar Pradesh),0.026977343563744573,192.1,2.9871212121212123,1319
Mumbai (Maharashtra),0.11239945181535703,738.1999999999999,3.9713311948676826,4987
Nagpur (Maharashtra),0.02973971338771713,208.5,4.90852228303362,1278
Patna (Bihar),0.03583318267548431,247.6,4.761674718196457,1862
Pune (Maharashtra),0.05637487551503505,381.4,1.281637717121588,2417
Surat (Gujarat),0.023923240026537826,137.2,56.01479654747226,810
Total Cities,1.0,6417.9,6.238332262898737,37367
